source,model,model_label,alpha,n_trials,n_cells,initial_mean,initial_mean_ci_low,initial_mean_ci_high,final_mean,final_mean_ci_low,final_mean_ci_high,final_vote_accuracy_rate,final_vote_accuracy_rate_ci_low,final_vote_accuracy_rate_ci_high,gain_mean,gain_mean_ci_low,gain_mean_ci_high,success85_rate
poster_alpha_sweep,gpt4o,GPT-4o,0.0,28.0,4.0,0.4613095238095238,0.34151785714285715,0.5863281249999996,0.6160714285714286,0.45753348214285716,0.7700892857142857,0.6071428571428571,0.42857142857142855,0.7857142857142857,0.1547619047619048,0.052083333333333336,0.25818452380952384,0.5
poster_alpha_sweep,gpt4o,GPT-4o,0.25,28.0,4.0,0.48392857142857143,0.3633928571428572,0.6022321428571429,0.6763392857142857,0.5223214285714286,0.8169642857142857,0.6428571428571429,0.4642857142857143,0.8214285714285714,0.1924107142857143,0.09016741071428572,0.29017857142857145,0.5714285714285714
poster_alpha_sweep,gpt4o,GPT-4o,0.5,28.0,4.0,0.453125,0.34151785714285715,0.5625,0.6584821428571429,0.5022321428571429,0.8125,0.6071428571428571,0.42857142857142855,0.7857142857142857,0.20535714285714285,0.11383928571428571,0.30357142857142855,0.6071428571428571
poster_alpha_sweep,gpt4o,GPT-4o,0.75,28.0,4.0,0.5099702380952381,0.40580357142857143,0.6062500000000001,0.8013392857142857,0.6540178571428571,0.9285714285714286,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.29136904761904764,0.19419642857142858,0.3869084821428571,0.7857142857142857
poster_alpha_sweep,gpt4o,GPT-4o,1.0,28.0,4.0,0.4657738095238095,0.3563988095238095,0.5691964285714285,0.5357142857142857,0.35714285714285715,0.7142857142857143,0.5357142857142857,0.35714285714285715,0.7142857142857143,0.06994047619047619,-0.07589285714285714,0.21279761904761907,0.5357142857142857
corrected_phase_sweep,gpt4o,GPT-4o,0.0,28.0,4.0,0.4893543956043956,0.3408310439560439,0.6316964285714286,0.5044642857142857,0.3325892857142857,0.6763392857142857,0.5,0.32142857142857145,0.6785714285714286,0.015109890109890112,-0.09598214285714286,0.11555631868131869,0.39285714285714285
corrected_phase_sweep,gpt4o,GPT-4o,0.25,28.0,4.0,0.4693877551020408,0.3338647959183673,0.6026785714285714,0.6339285714285714,0.46205357142857145,0.796875,0.6428571428571429,0.4642857142857143,0.8214285714285714,0.16454081632653064,0.06568877551020409,0.265625,0.5714285714285714
corrected_phase_sweep,gpt4o,GPT-4o,0.5,28.0,4.0,0.4867559523809524,0.3550595238095238,0.6160751488095237,0.5915178571428571,0.41964285714285715,0.7544642857142857,0.6071428571428571,0.42857142857142855,0.7857142857142857,0.10476190476190476,-0.01130952380952381,0.20982142857142858,0.5357142857142857
corrected_phase_sweep,gpt4o,GPT-4o,0.75,28.0,4.0,0.5196428571428572,0.38973214285714286,0.6491183035714284,0.6428571428571429,0.4642857142857143,0.8214285714285714,0.6428571428571429,0.4642857142857143,0.8214285714285714,0.12321428571428572,0.016506696428571437,0.23125,0.6428571428571429
corrected_phase_sweep,gpt4o,GPT-4o,1.0,28.0,4.0,0.4943452380952381,0.36488095238095236,0.6238095238095239,0.6138392857142857,0.42857142857142855,0.7857142857142857,0.6071428571428571,0.42857142857142855,0.7857142857142857,0.11949404761904761,-0.037968749999999975,0.27574404761904764,0.6071428571428571
