condition,N,seeds,initial_mean,final_mean,final_ci_low,final_ci_high,final_vote_accuracy_rate,final_vote_accuracy_ci_low,final_vote_accuracy_ci_high,gain_mean,correct_consensus_rate,wrong_consensus_rate,polarization_rate,fragmentation_rate,correct_consensus_count,wrong_consensus_count,polarization_count,fragmentation_count
all_gpt_4o,4,38,0.2894736842105263,0.5394736842105263,0.3881578947368421,0.6907894736842105,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.25,0.5,0.2631578947368421,0.23684210526315788,0.0,19,10,9,0
all_gpt_4o,8,38,0.3618421052631579,0.5855263157894737,0.4506578947368421,0.7203947368421053,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.2236842105263158,0.47368421052631576,0.07894736842105263,0.4473684210526316,0.0,18,3,17,0
all_gpt_4o,16,38,0.31414473684210525,0.6266447368421053,0.49337993421052634,0.7532894736842105,0.5789473684210527,0.42105263157894735,0.7368421052631579,0.3125,0.5,0.02631578947368421,0.39473684210526316,0.07894736842105263,19,1,15,3
all_gpt_4o,32,38,0.33449172325976234,0.6126644736842105,0.48355263157894735,0.7384868421052632,0.6578947368421053,0.5,0.7894736842105263,0.2781727504244482,0.4473684210526316,0.0,0.5,0.05263157894736842,17,0,19,2
all_gpt_4o,64,38,0.328125,0.5879934210526315,0.4625719572368421,0.710947779605263,0.5789473684210527,0.42105263157894735,0.7368421052631579,0.2598684210526316,0.39473684210526316,0.05263157894736842,0.5,0.05263157894736842,15,2,19,2
all_gpt_4o,128,37,0.31087398914662695,0.5899493243243243,0.46600506756756754,0.7105363175675673,0.6216216216216216,0.4594594594594595,0.7567567567567568,0.2790753351776974,0.3783783783783784,0.0,0.5945945945945946,0.02702702702702703,14,0,22,1
all_gpt_5_4,4,29,0.3879310344827586,0.4396551724137931,0.2672413793103448,0.6120689655172413,0.4482758620689655,0.27586206896551724,0.6206896551724138,0.05172413793103448,0.3793103448275862,0.4827586206896552,0.13793103448275862,0.0,11,14,4,0
all_gpt_5_4,8,29,0.3577586206896552,0.5905172413793104,0.43103448275862066,0.7413793103448276,0.6206896551724138,0.4482758620689655,0.7931034482758621,0.23275862068965517,0.4827586206896552,0.13793103448275862,0.3793103448275862,0.0,14,4,11,0
all_gpt_5_4,16,29,0.375,0.5905172413793104,0.4267241379310345,0.7478448275862069,0.6206896551724138,0.4482758620689655,0.7931034482758621,0.21551724137931033,0.4827586206896552,0.10344827586206896,0.3103448275862069,0.10344827586206896,14,3,9,3
all_gpt_5_4,32,29,0.3642241379310345,0.6012931034482759,0.44612068965517243,0.7521551724137931,0.5862068965517241,0.41379310344827586,0.7586206896551724,0.23706896551724138,0.4827586206896552,0.10344827586206896,0.3448275862068966,0.06896551724137931,14,3,10,2
all_gpt_5_4,64,29,0.3739224137931034,0.6082974137931034,0.44933997844827583,0.7640220905172411,0.5862068965517241,0.41379310344827586,0.7586206896551724,0.234375,0.5172413793103449,0.10344827586206896,0.27586206896551724,0.10344827586206896,15,3,8,3
all_gpt_5_4,128,26,0.3389423076923077,0.5853365384615384,0.41736778846153844,0.7466947115384616,0.5,0.3076923076923077,0.6923076923076923,0.24639423076923078,0.5,0.038461538461538464,0.34615384615384615,0.11538461538461539,13,1,9,3
